store_id,sku,product_name,current_stock,unit_cost,unit_price,expiry_date,reorder_level,supplier_id
STORE001,MED001,Paracetamol 50mg,497,9.07,11.56,2026-11-11,190,SUP008
STORE001,MED002,Paracetamol 100mg,700,7.85,10.75,2026-09-21,289,SUP009
STORE001,MED003,Ibuprofen 50mg,454,5.19,7.66,2026-10-31,193,SUP007
STORE001,MED004,Ibuprofen 100mg,293,9.58,12.27,2026-10-09,300,SUP008
STORE001,MED005,Aspirin 50mg,764,4.17,5.97,2026-08-19,246,SUP004
STORE001,MED006,Aspirin 100mg,660,10.08,13.47,2026-07-11,167,SUP006
STORE001,MED007,Diclofenac 50mg,225,9.68,13.95,2026-12-05,184,SUP001
STORE001,MED008,Diclofenac 100mg,257,7.23,8.95,2026-06-06,266,SUP008
STORE001,MED009,Amoxicillin 50mg,138,34.22,47.73,2026-05-15,59,SUP004
STORE001,MED010,Amoxicillin 100mg,147,15.5,23.23,2026-06-23,44,SUP009
STORE001,MED011,Azithromycin 50mg,80,26.15,37.7,2026-03-24,63,SUP001
STORE001,MED012,Azithromycin 100mg,89,22.38,27.53,2027-02-05,67,SUP001
STORE001,MED013,Ciprofloxacin 50mg,104,28.98,40.24,2026-09-14,43,SUP007
STORE001,MED014,Ciprofloxacin 100mg,120,20.55,27.39,2026-11-27,47,SUP003
STORE001,MED015,Cephalexin 50mg,39,32.74,42.7,2026-05-26,39,SUP010
STORE001,MED016,Cephalexin 100mg,104,23.53,28.68,2026-10-11,33,SUP002
STORE001,MED017,Cetirizine 50mg,724,6.34,7.79,2026-12-18,181,SUP004
STORE001,MED018,Cetirizine 100mg,528,9.02,12.18,2026-06-02,203,SUP007
STORE001,MED019,Loratadine 50mg,422,6.16,8.66,2027-01-08,252,SUP005
STORE001,MED020,Loratadine 100mg,347,15.62,21.62,2026-07-11,228,SUP003
STORE001,MED021,Phenylephrine 50mg,704,11.26,14.6,2026-07-02,273,SUP006
STORE001,MED022,Phenylephrine 100mg,498,6.12,8.3,2026-08-11,257,SUP004
STORE001,MED023,Dextromethorphan 50mg,462,10.02,12.96,2026-08-31,170,SUP005
STORE001,MED024,Dextromethorphan 100mg,640,11.68,16.13,2026-12-26,250,SUP006
STORE001,MED025,Vitamin C 50mg,743,11.82,17.53,2026-07-02,219,SUP005
STORE001,MED026,Vitamin C 100mg,297,9.54,12.87,2027-01-31,180,SUP002
STORE001,MED027,Vitamin D 50mg,777,17.31,24.85,2026-11-01,155,SUP009
STORE001,MED028,Vitamin D 100mg,614,19.17,26.74,2026-06-17,235,SUP010
STORE001,MED029,Multivitamin 50mg,655,18.71,27.18,2026-10-28,236,SUP001
STORE001,MED030,Multivitamin 100mg,744,11.53,15.78,2026-12-26,231,SUP010
STORE001,MED031,Calcium 50mg,517,8.26,10.12,2026-09-01,182,SUP008
STORE001,MED032,Calcium 100mg,434,17.22,23.53,2026-08-18,199,SUP009
STORE001,MED033,Metformin 50mg,212,52.21,68.24,2026-07-30,96,SUP002
STORE001,MED034,Metformin 100mg,142,41.94,53.63,2026-12-20,92,SUP007
STORE001,MED035,Glimepiride 50mg,189,40.01,50.66,2026-04-23,97,SUP007
STORE001,MED036,Glimepiride 100mg,275,43.44,58.88,2026-06-04,123,SUP004
STORE001,MED037,Insulin 50mg,159,28.68,37.04,2026-05-08,91,SUP002
STORE001,MED038,Insulin 100mg,352,26.99,34.68,2026-12-04,141,SUP003
STORE001,MED039,Sitagliptin 50mg,176,60.82,85.41,2026-04-28,147,SUP010
STORE001,MED040,Sitagliptin 100mg,219,42.58,57.21,2027-02-02,144,SUP009
STORE001,MED041,Amlodipine 50mg,307,29.38,36.72,2026-05-17,97,SUP010
STORE001,MED042,Amlodipine 100mg,389,39.66,49.84,2026-10-17,137,SUP006
STORE001,MED043,Losartan 50mg,310,43.28,64.89,2026-11-03,105,SUP002
STORE001,MED044,Losartan 100mg,298,53.27,71.22,2026-05-14,113,SUP001
STORE001,MED045,Atenolol 50mg,158,53.0,78.99,2026-10-31,144,SUP005
STORE001,MED046,Atenolol 100mg,153,18.94,24.48,2026-10-12,139,SUP010
STORE001,MED047,Enalapril 50mg,271,54.72,71.68,2026-07-05,91,SUP004
STORE001,MED048,Enalapril 100mg,277,20.01,24.41,2026-05-28,109,SUP007
STORE001,MED049,Omeprazole 50mg,231,13.49,16.39,2027-02-07,138,SUP003
STORE001,MED050,Omeprazole 100mg,245,11.26,14.87,2027-01-06,138,SUP007
STORE001,MED051,Ranitidine 50mg,235,24.17,32.47,2027-02-10,95,SUP002
STORE001,MED052,Ranitidine 100mg,331,24.28,29.79,2026-06-16,123,SUP002
STORE001,MED053,Antacid 50mg,367,12.46,15.35,2027-01-17,145,SUP010
STORE001,MED054,Antacid 100mg,329,23.59,35.06,2027-01-24,93,SUP009
STORE001,MED055,Domperidone 50mg,299,12.87,19.29,2026-07-19,91,SUP004
STORE001,MED056,Domperidone 100mg,360,21.86,31.94,2026-05-08,128,SUP008
STORE001,MED057,Betnovate 50mg,137,17.33,24.45,2026-03-21,80,SUP010
STORE001,MED058,Betnovate 100mg,59,32.95,40.19,2026-04-27,66,SUP004
STORE001,MED059,Clotrimazole 50mg,73,31.15,43.44,2026-06-24,42,SUP009
STORE001,MED060,Clotrimazole 100mg,125,40.31,59.03,2026-05-14,46,SUP003
STORE001,MED061,Hydrocortisone 50mg,105,22.58,30.46,2027-02-17,68,SUP007
