date,store_id,sku,product_name,quantity_sold,unit_price,total_amount
2025-02-19,STORE003,MED001,Paracetamol 50mg,15,7.45,111.75
2025-02-19,STORE002,MED056,Domperidone 100mg,7,24.47,171.29
2025-02-19,STORE001,MED054,Antacid 100mg,7,38.16,267.12
2025-02-19,STORE001,MED053,Antacid 50mg,7,31.3,219.1
2025-02-19,STORE001,MED052,Ranitidine 100mg,2,26.08,52.16
2025-02-19,STORE004,MED051,Ranitidine 50mg,2,19.59,39.18
2025-02-19,STORE001,MED050,Omeprazole 100mg,11,21.22,233.42
2025-02-19,STORE004,MED057,Betnovate 50mg,6,31.41,188.46
2025-02-19,STORE001,MED049,Omeprazole 50mg,9,16.52,148.68
2025-02-19,STORE004,MED047,Enalapril 50mg,3,35.47,106.41
2025-02-19,STORE005,MED046,Atenolol 100mg,2,56.69,113.38
2025-02-19,STORE004,MED045,Atenolol 50mg,3,36.78,110.34
2025-02-19,STORE001,MED044,Losartan 100mg,5,72.28,361.4
2025-02-19,STORE001,MED043,Losartan 50mg,5,63.93,319.65
2025-02-19,STORE001,MED042,Amlodipine 100mg,3,57.36,172.08
2025-02-19,STORE004,MED048,Enalapril 100mg,4,47.61,190.44
2025-02-19,STORE005,MED041,Amlodipine 50mg,3,49.83,149.49
2025-02-19,STORE005,MED058,Betnovate 100mg,2,46.47,92.94
2025-02-19,STORE005,MED061,Hydrocortisone 50mg,2,56.78,113.56
2025-02-19,STORE001,MED079,Ear Drops 50mg,1,23.34,23.34
2025-02-19,STORE001,MED078,Eye Drops 100mg,1,13.69,13.69
2025-02-19,STORE003,MED077,Eye Drops 50mg,2,30.22,60.44
2025-02-19,STORE005,MED076,Antihistamine 100mg,3,18.43,55.29
2025-02-19,STORE001,MED074,Sleeping Pills 100mg,1,47.56,47.56
2025-02-19,STORE005,MED073,Sleeping Pills 50mg,2,10.31,20.62
2025-02-19,STORE002,MED059,Clotrimazole 50mg,3,58.75,176.25
2025-02-19,STORE002,MED072,Budesonide 100mg,2,59.1,118.2
2025-02-19,STORE004,MED069,Theophylline 50mg,2,69.16,138.32
2025-02-19,STORE004,MED068,Montelukast 100mg,1,52.39,52.39
2025-02-19,STORE002,MED067,Montelukast 50mg,1,49.61,49.61
2025-02-19,STORE003,MED066,Salbutamol 100mg,6,86.41,518.46
2025-02-19,STORE005,MED065,Salbutamol 50mg,4,39.51,158.04
2025-02-19,STORE005,MED062,Hydrocortisone 100mg,4,23.2,92.8
2025-02-19,STORE005,MED070,Theophylline 100mg,1,46.72,46.72
2025-02-19,STORE003,MED040,Sitagliptin 100mg,10,57.93,579.3
2025-02-19,STORE004,MED055,Domperidone 50mg,11,27.03,297.33
2025-02-19,STORE005,MED038,Insulin 100mg,3,41.56,124.68
2025-02-19,STORE003,MED019,Loratadine 50mg,11,9.13,100.43
2025-02-19,STORE001,MED018,Cetirizine 100mg,6,11.89,71.34
2025-02-19,STORE005,MED017,Cetirizine 50mg,9,11.73,105.57
2025-02-19,STORE001,MED015,Cephalexin 50mg,3,38.27,114.81
2025-02-19,STORE002,MED014,Ciprofloxacin 100mg,1,40.11,40.11
2025-02-19,STORE004,MED013,Ciprofloxacin 50mg,1,39.07,39.07
2025-02-19,STORE001,MED012,Azithromycin 100mg,2,45.66,91.32
2025-02-19,STORE005,MED010,Amoxicillin 100mg,3,46.56,139.68
2025-02-19,STORE003,MED008,Diclofenac 100mg,12,13.07,156.84
2025-02-19,STORE001,MED007,Diclofenac 50mg,16,8.8,140.8
2025-02-19,STORE003,MED006,Aspirin 100mg,8,6.55,52.4
2025-02-19,STORE001,MED005,Aspirin 50mg,11,12.59,138.49
2025-02-19,STORE005,MED004,Ibuprofen 100mg,8,9.2,73.6
